Адр,МК,IP,CR,AR,DR,SP,BR,AC,PS,NZVCСчМК
D4,00BBE00000,2A5,0000,000,0000,000,0000,0000,004,0100D5
D5,80C3101040,2A5,0000,000,0000,000,0000,0000,004,0100C3
C3,0400000000,2A5,0000,000,0000,000,0000,0000,004,0100C4
C4,80DE801040,2A5,0000,000,0000,000,0000,0000,004,0100DE
DE,4000000000,2A5,0000,000,0000,000,0000,0000,004,0100DF
DF,8001101040,2A5,0000,000,0000,000,0000,0000,004,010001
01,00A0009004,2A5,0000,2A5,0000,000,02A5,0000,004,010002
02,0104009420,2A6,0000,2A5,0000,000,02A5,0000,004,010003
03,0002009001,2A6,0000,2A5,0000,000,02A5,0000,004,010004
04,8109804002,2A6,0000,2A5,0000,000,02A5,0000,004,010005
05,810C404002,2A6,0000,2A5,0000,000,02A5,0000,004,010006
06,810C204002,2A6,0000,2A5,0000,000,02A5,0000,004,010007
07,8078104002,2A6,0000,2A5,0000,000,02A5,0000,004,010078
78,81A4084002,2A6,0000,2A5,0000,000,02A5,0000,004,010079
79,8189044002,2A6,0000,2A5,0000,000,02A5,0000,004,01007A
7A,817D024002,2A6,0000,2A5,0000,000,02A5,0000,004,01007B
7B,80C4014002,2A6,0000,2A5,0000,000,02A5,0000,004,0100C4
C4,80DE801040,2A6,0000,2A5,0000,000,02A5,0000,004,0100DE
DE,4000000000,2A6,0000,2A5,0000,000,02A5,0000,004,0100DF
DF,8001101040,2A6,0000,2A5,0000,000,02A5,0000,004,010001
01,00A0009004,2A6,0000,2A6,0000,000,02A6,0000,004,010002
02,0104009420,2A7,0000,2A6,1234,000,02A6,0000,004,010003
03,0002009001,2A7,1234,2A6,1234,000,02A6,0000,004,010004
04,8109804002,2A7,1234,2A6,1234,000,02A6,0000,004,010005
05,810C404002,2A7,1234,2A6,1234,000,02A6,0000,004,010006
06,810C204002,2A7,1234,2A6,1234,000,02A6,0000,004,010007
07,8078104002,2A7,1234,2A6,1234,000,02A6,0000,004,010008
08,80C2101040,2A7,1234,2A6,1234,000,02A6,0000,004,0100C2
C2,81C7084002,2A7,1234,2A6,1234,000,02A6,0000,004,0100C3
C3,0400000000,2A7,1234,2A6,1234,000,02A6,0000,004,0100C4
C4,80DE801040,2A7,1234,2A6,1234,000,02A6,0000,004,0100DE
DE,4000000000,2A7,1234,2A6,1234,000,02A6,0000,004,0100DF
DF,8001101040,2A7,1234,2A6,1234,000,02A6,0000,004,010001
01,00A0009004,2A7,1234,2A7,1234,000,02A7,0000,004,010002
02,0104009420,2A8,1234,2A7,FFBF,000,02A7,0000,004,010003
03,0002009001,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,010004
04,8109804002,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,010009
09,800C404002,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,01000A
0A,800C204002,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,01000B
0B,8157104002,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,010057
57,8171084002,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,010071
71,81E0044002,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100E0
E0,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100E1
E1,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100E2
E2,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100E3
E3,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100E4
E4,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100E5
E5,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100E6
E6,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100E7
E7,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100E8
E8,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100E9
E9,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100EA
EA,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100EB
EB,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100EC
EC,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100ED
ED,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100EE
EE,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100EF
EF,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100F0
F0,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100F1
F1,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100F2
F2,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100F3
F3,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100F4
F4,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100F5
F5,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100F6
F6,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100F7
F7,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100F8
F8,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100F9
F9,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100FA
FA,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100FB
FB,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100FC
FC,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100FD
FD,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100FE
FE,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,0100FF
FF,0000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,010000
00,4000000000,2A8,FFBF,2A7,FFBF,000,02A7,0000,004,010001
01,00A0009004,2A8,FFBF,2A8,FFBF,000,02A8,0000,004,010002
02,0104009420,2A9,FFBF,2A8,FADC,000,02A8,0000,004,010003
03,0002009001,2A9,FADC,2A8,FADC,000,02A8,0000,004,010004
04,8109804002,2A9,FADC,2A8,FADC,000,02A8,0000,004,010009
09,800C404002,2A9,FADC,2A8,FADC,000,02A8,0000,004,01000A
0A,800C204002,2A9,FADC,2A8,FADC,000,02A8,0000,004,01000B
0B,8157104002,2A9,FADC,2A8,FADC,000,02A8,0000,004,010057
